num_implements;num_tasks;num_vehicles;seed;full;time_horizon;num_periods;probabilityTA;probabilityTD;probabilityVA;probabilityVD;probabilityIA;probabilityID;t;toptimization;Obj;PenaltyCost;StaticCost;DistanciaTotal;Distancia_list;DesvDistancia;TaskDone_list;DesvTaskDone;TotalTasksDone;TasksCompleted
30;10;30;2;True;2000;1;0;0;0;0;0;0;59.26581573486328;0.43384838104248047;29308.035188278336;27028.701730554727;414.3178524966547;1865.099999999999;[35.87, 113.87, 82.87, 70.87, 36.87, 125.87, 36.87, 26.87, 25.87, 72.87, 31.87, 100.87, 28.87, 55.87, 68.87, 24.87, 15.87, 70.87, 81.87, 31.87, 116.87, 81.87, 58.87, 107.87, 125.87, 73.87, 36.87, 63.87, 34.87, 23.87];110.0;[3, 2, 1, 1, 2, 1];2;10;True
30;10;30;3;True;2000;1;0;0;0;0;0;0;46.828362464904785;0.435321569442749;39011.48287451297;36891.71092375912;484.22022824426745;1635.6400000000003;[62.2, 62.2, 62.2, 68.2, 90.58, 28.2, 27.2, 59.2, 90.58, 90.58, 16.2, 41.2, 90.58, 71.2, 26.2, 46.2, 27.2, 37.2, 26.2, 90.58, 36.2, 73.8, 90.58, 32.2, 37.2, 29.2, 90.58, 16.2, 25.2, 90.58];74.38;[1, 1, 2, 1, 1, 1, 3];2;10;True
30;10;30;4;True;2000;1;0;0;0;0;0;0;52.60809516906738;0.43405818939208984;43142.31963198633;41038.136777961605;491.35046151901884;1612.9300000000005;[19.17, 100.17, 14.17, 64.17, 81.17, 47.17, 64.17, 42.17, 18.17, 100.17, 14.17, 76.17, 19.17, 51.17, 100.17, 100.17, 66.17, 78.17, 48.17, 41.17, 100.17, 4.0, 38.17, 45.17, 25.17, 46.17, 94.17, 21.17, 50.17, 43.17];96.17;[1, 2, 1, 3, 1, 2];2;10;True
30;10;30;5;True;2000;1;0;0;0;0;0;0;41.44459295272827;0.37099194526672363;32329.846277044096;30422.182967447734;469.7628108365667;1437.9200000000005;[48.75, 64.71, 35.75, 42.75, 20.19, 72.71, 55.71, 29.19, 71.71, 28.19, 64.71, 3.0, 23.19, 41.75, 54.71, 78.71, 19.19, 16.19, 52.71, 70.71, 78.71, 75.71, 78.71, 29.19, 4.0, 76.71, 13.19, 31.75, 76.71, 78.71];75.71;[2, 2, 2, 1, 1, 2];1;10;True
30;10;30;6;True;2000;1;0;0;0;0;0;0;46.80164957046509;0.3531045913696289;17711.639039290352;15435.267407423027;434.10333620778056;1842.3000000000006;[72.16, 39.16, 92.16, 96.16, 59.16, 84.16, 45.16, 93.16, 96.16, 27.16, 35.16, 40.16, 84.16, 72.16, 39.16, 13.66, 80.16, 61.16, 45.16, 79.16, 71.16, 48.16, 82.16, 27.16, 96.16, 84.16, 72.16, 37.16, 38.16, 31.16];82.5;[1, 1, 1, 1, 3, 2, 1];2;10;True
40;10;40;1;True;2000;1;0;0;0;0;0;0;61.85588836669922;0.742605447769165;39852.82372926198;36784.32606471465;588.5660688695524;2479.829999999999;[116.11, 34.11, 37.11, 94.11, 116.11, 51.11, 53.11, 75.11, 63.11, 45.11, 14.41, 60.11, 91.11, 49.11, 67.11, 78.11, 21.11, 56.11, 70.11, 67.11, 66.11, 4.24, 65.11, 85.11, 54.11, 64.11, 28.11, 116.11, 41.11, 69.11, 73.11, 20.11, 52.11, 116.11, 51.11, 85.11, 65.11, 25.11, 29.11, 110.11];111.87;[1, 2, 1, 3, 1, 2];2;10;True
40;10;40;2;True;2000;1;0;0;0;0;0;0;61.381996393203735;0.6347734928131104;28772.76160544042;25950.810515657184;407.2578577353873;2414.6000000000004;[35.2, 110.2, 82.2, 69.2, 35.2, 119.2, 34.2, 25.2, 24.2, 72.2, 28.2, 93.2, 25.2, 54.2, 65.2, 22.2, 16.5, 69.2, 78.2, 27.2, 119.2, 80.2, 55.2, 110.2, 90.2, 74.2, 33.2, 60.2, 32.2, 22.2, 101.2, 43.2, 76.2, 27.2, 94.2, 96.2, 95.2, 49.2, 18.5, 50.2];102.7;[2, 2, 1, 1, 2, 1, 1];1;10;True
40;10;40;3;True;2000;1;0;0;0;0;0;0;53.35700082778931;0.6101958751678467;48909.04271802069;46058.96310984675;522.2266950900873;2328.0000000000005;[64.95, 65.95, 63.95, 69.95, 94.95, 28.95, 25.95, 60.95, 87.95, 89.95, 17.95, 41.95, 96.95, 59.95, 25.95, 48.95, 27.95, 39.95, 25.95, 96.95, 39.95, 73.95, 96.95, 34.95, 39.95, 29.95, 96.95, 17.95, 24.95, 87.95, 23.95, 88.95, 96.95, 80.95, 72.95, 50.95, 64.95, 55.95, 56.95, 55.95];79.0;[1, 1, 1, 1, 1, 2, 3];2;10;True
40;10;40;4;True;2000;1;0;0;0;0;0;0;60.1999933719635;0.6561837196350098;57165.18934084119;54146.539128718236;502.42825700951937;2516.23;[21.57, 86.57, 17.57, 66.57, 85.57, 55.57, 74.57, 50.57, 20.57, 106.57, 18.57, 81.57, 21.57, 58.57, 98.57, 102.57, 72.57, 81.57, 55.57, 45.57, 113.57, 4.0, 40.57, 50.57, 32.57, 48.57, 109.57, 22.57, 54.57, 46.57, 98.57, 67.57, 98.57, 67.57, 99.57, 74.57, 55.57, 48.57, 65.57, 94.57];109.57;[1, 1, 1, 2, 2, 1, 1, 1];1;10;True
40;10;40;5;True;2000;1;0;0;0;0;0;0;42.730183124542236;0.7465357780456543;36189.21054093615;33890.64473948459;497.3424871987402;1801.1499999999992;[47.55, 58.55, 31.55, 39.55, 20.55, 69.55, 51.55, 29.55, 68.55, 23.55, 55.55, 3.0, 22.55, 38.55, 39.55, 70.55, 19.55, 18.55, 45.55, 66.55, 61.55, 70.55, 70.55, 27.55, 4.0, 61.55, 15.96, 31.55, 70.55, 70.55, 40.55, 62.55, 67.55, 42.55, 52.55, 70.55, 14.39, 55.55, 59.55, 30.55];67.55;[2, 2, 1, 2, 2, 1];1;10;True
